"Item #","Qty","UPC","Aux 1","Desc 1","Desc 2","Size","Attr","Aux 5","Aux 2","Inven P$T$","Desc 3","Desc 4","Aux 6"
"298758","2","8057735063086","201750","56T00004_1T000377","ROUNDNECK 1/2 SLEEVES","XS","W010","3207","TRUSSARDI JEANS WOMA","49,00","COTTON JERSEY WITH PRINT","T-SHIRT CRISANTEMI","T-shirt   T-shirt"
"341610","2","8058322568274","201710","79A90596_9Y099999","SCARPA DONNA SPECCHIO","40","9003","2885","TJ SHOES WOMAN","109,00","GENERICO","SCARPA DONNA","Shoes     Derby"
"297301","2","8057735235926","201750","79A00073_9Y099999","DECOLLETE PIRAMID PRINTED VELV","38","R290","BORDEAUX","TJ SHOES WOMAN","85,00","GENERICO","DECOLLETE WOMAN","Shoes     Decollete"
"341609","2","8058322568267","201710","79A90596_9Y099999","SCARPA DONNA SPECCHIO","39","9003","2885","TJ SHOES WOMAN","109,00","GENERICO","SCARPA DONNA","Shoes     Derby"
"365646","2","8058322415509","201710","79A90564_9Y099999","SCARPA DONNA SUEDE","37","9004","2885","TJ SHOES WOMAN","105,00","GENERICO","SCARPA DONNA","Shoes     Derby"
"365647","2","8058322415516","201710","79A90564_9Y099999","SCARPA DONNA SUEDE","38","9004","2885","TJ SHOES WOMAN","105,00","GENERICO","SCARPA DONNA","Shoes     Derby"
"365648","2","8058322415523","201710","79A90564_9Y099999","SCARPA DONNA SUEDE","39","9004","2885","TJ SHOES WOMAN","105,00","GENERICO","SCARPA DONNA","Shoes     Derby"
"284615","2","8058322051844","201650","76B90273_1Y090251","BORSA VITELLO TRESOR BICOLOR","NR","9001","2885","TRUSSARDI LEATHER WO","335,00","VITELLO TRESOR DI FAEDA","BORSA","Bags      Handbag"
"401176","2","8057735229260","201750","77A00030_9Y099999","DERBY SUEDE DOUBLE BUCKLES","42","U260","3235","TJ SHOES MAN","85,00","GENERICO","DERBY MAN","Shoes     Derby"
"359321","2","8057735018369","201750","75B00012_1Y090125","ISCHIA ECOLEATHER POCHETTE","NR","K299","BLACK","JEANS LEATHER GOODS","45,00","ECOPELLE","WOMAN BAG","Bags      Pochette"
"322430","2","8058322583239","201710","56M90653_1Y092694","MAGLIA VISCOSA ELASTICIZZATA","XL","U290","2226","TRUSSARDI JEANS WOMA","85,00","VISCOSA ELASTICIZZATA","MAGLIA","Knitter/SwKnitter"
"376605","2","8057735538676","201721","52J00037_1T001946H001","380 ICON COLOR MICROARMATURA S","35","B167","3281","TRUSSARDI JEANS MAN","85,00","MICROARMATURA STRETCH","380 ICON COLOR","Jeans 5 poColor"
"376609","2","8057735538171","201721","52J00037_1T001947H001","380 ICON COLOR MICROPIQUET STR","37","K299","BLACK","TRUSSARDI JEANS MAN","85,00","MICROPIQUET STRETCH","380 ICON COLOR","Jeans 5 poColor"
"341618","2","8058322568342","201710","79A90596_9Y099999","SCARPA DONNA SPECCHIO","40","9004","2885","TJ SHOES WOMAN","109,00","GENERICO","SCARPA DONNA","Shoes     Derby"
"401167","2","8057735229208","201750","77A00030_9Y099999","DERBY SUEDE DOUBLE BUCKLES","40","K299","BLACK","TJ SHOES MAN","85,00","GENERICO","DERBY MAN","Shoes     Derby"
"376602","2","8057735538645","201721","52J00037_1T001946H001","380 ICON COLOR MICROARMATURA S","33","B167","3281","TRUSSARDI JEANS MAN","85,00","MICROARMATURA STRETCH","380 ICON COLOR","Jeans 5 poColor"
"376603","2","8057735538652","201721","52J00037_1T001946H001","380 ICON COLOR MICROARMATURA S","32","B167","3281","TRUSSARDI JEANS MAN","85,00","MICROARMATURA STRETCH","380 ICON COLOR","Jeans 5 poColor"
"271686","2","8052085815774","201650","52M90281_1Y090491","MAGLIA LANA COTONE","XL","B200","BROWN","TRUSSARDI JEANS MAN","69,00","LAMBSCOT TINTO FILO","MAGLIA","Knitter/SwKnitter"
"322730","2","8057735011506","201750","56T00002_1T000377","ROUNDNECK OVER","XS","R020","3206","TRUSSARDI JEANS WOMA","55,00","COTTON JERSEY WITH PRINT","T-SHIRT STAMPA DONNA","T-shirt   T-shirt"
"252267","2","8052085690227","201650","56H90479_1Y091692","GIACCA GALLES","44","9001","2885","TRUSSARDI JEANS WOMA","155,00","MAPEL/ART.WOOL 10409 KD","GIACCA","Blazer/SuiBlazer"
"314529","2","8058322357489","201710","52J92212_1Y092085","JEANS 5 TASCHE PURE DENIM STRE","31","U280","BLUE","TRUSSARDI JEANS MAN","85,00","JANE PI35X","JEANS 5 TASCHE","Jeans 5 poColor"
"359505","2","8057735535996","201721","52M00177_0F000267","ROUND NECK MERINO’S EXTRAFINE","M","U606","AVIO","TRUSSARDI JEANS MAN","75,00","MERINO’S EXTRAFINE","ROUND NECK","Knitwear  Knit"
"313963","2","8057735432813","201810","52J00009_1Y090565A001","380 EXTRA SLIM - URBAN WASHED","38","U290","2226","TRUSSARDI JEANS MAN","75,00","MEGEVE PI35X","380 EXTRA SLIM DENIM","Jeans 5 poDenim"
"386696","2","8057735157259","201810","52S00122_1T000599","FIELD JKT REGULAR FIT CRINCKLE","48","U280","BLUE","TRUSSARDI JEANS MAN","195,00","CRINCKLED NYLON (TYBH 6122-4-1","FIELD JACKET","Outerwear Nylon"
"297331","2","8057735240401","201750","79A00097_9Y099999","RAIN BEATLES PVC","36","U280","BLUE","TJ SHOES WOMAN","59,00","GENERICO","RAIN BEATLES WOMAN","Shoes     Beatles"
"298694","2","8057735057443","201750","56T00001_1Y090535","ROUNDNECK LONG SLEEVES","L","R310","2281","TRUSSARDI JEANS WOMA","35,00","JERSEY COTONE GARGAMELLA","T-SHIRT GIROCOLLO M/L","T-shirt   T-shirt"
"301025","2","8057735050468","201750","79A00093_9Y099999","RAIN COMBAT BOOTS VELVET LACES","39","K299","BLACK","TJ SHOES WOMAN","79,00","GENERICO","RAIN COMBAT BOOTS WOMAN","Shoes     Combat boo"
"206196","2","8052085445285","201610","56J91905_1T091445","JEANS 5 TASCHE DIAGONALE LEGGE","29","9006","2885","TRUSSARDI JEANS WOMA","59,00","23589 DIAGONAL LYC","JEANS 5 TASCHE","Jeans 5 poColor"
"284563","2","8058322051301","201650","76B90264_1Y090252","BORSA VITELLO ELITE/DOLLARINO","NR","9002","2885","TRUSSARDI LEATHER WO","325,00","VITELLO ELITE DI MONFRINI","BORSA","Bags      Handbag"
